case_id,condition_id,coverage_fraction,geometry,native_fg,native_bg,fg_inside_crop_before_dedup,fg_unique_after_grid_mapping,fg_coordinate_collapse,fg_outside_crop,bg_inside_crop_before_dedup,bg_unique_after_grid_mapping,bg_coordinate_collapse,bg_outside_crop,mapped_bg_semantic_sha256
coronacases_004,C50_DIS,0.5,dispersed,80,80,80,76,4,0,80,80,0,0,9608b9f7f8247228e3a71db23461a9e4d61d74dddc49b3b022efa21ffd982993
coronacases_004,C50_FRG,0.5,fragmented,80,80,80,38,42,0,80,80,0,0,9608b9f7f8247228e3a71db23461a9e4d61d74dddc49b3b022efa21ffd982993
coronacases_005,C100_COH,1.0,coherent,40,40,40,19,21,0,40,40,0,0,72dc5bca4082696e3cb415871826f90065e2b2a183a0d01787417b92672a5582
coronacases_005,C100_DIS,1.0,dispersed,40,40,40,38,2,0,40,40,0,0,72dc5bca4082696e3cb415871826f90065e2b2a183a0d01787417b92672a5582
coronacases_005,C100_FRG,1.0,fragmented,40,40,40,26,14,0,40,40,0,0,72dc5bca4082696e3cb415871826f90065e2b2a183a0d01787417b92672a5582
coronacases_005,C50_COH,0.5,coherent,40,40,40,14,26,0,40,40,0,0,72dc5bca4082696e3cb415871826f90065e2b2a183a0d01787417b92672a5582
coronacases_005,C50_DIS,0.5,dispersed,40,40,40,34,6,0,40,40,0,0,72dc5bca4082696e3cb415871826f90065e2b2a183a0d01787417b92672a5582
coronacases_005,C50_FRG,0.5,fragmented,40,40,40,21,19,0,40,40,0,0,72dc5bca4082696e3cb415871826f90065e2b2a183a0d01787417b92672a5582
coronacases_006,C100_COH,1.0,coherent,20,20,20,13,7,0,20,20,0,0,c3695edcc498cb80d4eac2c254478660721e4211c4ca4c18fedd76f0f71f2f45
coronacases_006,C100_DIS,1.0,dispersed,20,20,20,20,0,0,20,20,0,0,c3695edcc498cb80d4eac2c254478660721e4211c4ca4c18fedd76f0f71f2f45
coronacases_006,C100_FRG,1.0,fragmented,20,20,20,12,8,0,20,20,0,0,c3695edcc498cb80d4eac2c254478660721e4211c4ca4c18fedd76f0f71f2f45
coronacases_006,C50_COH,0.5,coherent,20,20,20,10,10,0,20,20,0,0,c3695edcc498cb80d4eac2c254478660721e4211c4ca4c18fedd76f0f71f2f45
coronacases_006,C50_DIS,0.5,dispersed,20,20,20,20,0,0,20,20,0,0,c3695edcc498cb80d4eac2c254478660721e4211c4ca4c18fedd76f0f71f2f45
coronacases_006,C50_FRG,0.5,fragmented,20,20,20,10,10,0,20,20,0,0,c3695edcc498cb80d4eac2c254478660721e4211c4ca4c18fedd76f0f71f2f45
coronacases_007,C100_COH,1.0,coherent,100,100,100,54,46,0,100,100,0,0,bbed7b256c18fe512fdb17e03edce1c2e15d449d3d000c6e2cf2c5797588b7cf
coronacases_007,C100_DIS,1.0,dispersed,100,100,100,100,0,0,100,100,0,0,bbed7b256c18fe512fdb17e03edce1c2e15d449d3d000c6e2cf2c5797588b7cf
coronacases_007,C100_FRG,1.0,fragmented,100,100,100,62,38,0,100,100,0,0,bbed7b256c18fe512fdb17e03edce1c2e15d449d3d000c6e2cf2c5797588b7cf
coronacases_007,C50_COH,0.5,coherent,100,100,100,42,58,0,100,100,0,0,bbed7b256c18fe512fdb17e03edce1c2e15d449d3d000c6e2cf2c5797588b7cf
coronacases_007,C50_DIS,0.5,dispersed,100,100,100,100,0,0,100,100,0,0,bbed7b256c18fe512fdb17e03edce1c2e15d449d3d000c6e2cf2c5797588b7cf
coronacases_007,C50_FRG,0.5,fragmented,100,100,100,49,51,0,100,100,0,0,bbed7b256c18fe512fdb17e03edce1c2e15d449d3d000c6e2cf2c5797588b7cf
coronacases_008,C100_COH,1.0,coherent,202,202,202,116,86,0,202,202,0,0,e7afa0acf55ec424be82d5ccae97ad2c0dac31ff5671665caade7d195760dd33
coronacases_008,C100_DIS,1.0,dispersed,202,202,202,202,0,0,202,202,0,0,e7afa0acf55ec424be82d5ccae97ad2c0dac31ff5671665caade7d195760dd33
coronacases_008,C100_FRG,1.0,fragmented,202,202,202,143,59,0,202,202,0,0,e7afa0acf55ec424be82d5ccae97ad2c0dac31ff5671665caade7d195760dd33
coronacases_008,C50_COH,0.5,coherent,202,202,202,95,107,0,202,202,0,0,e7afa0acf55ec424be82d5ccae97ad2c0dac31ff5671665caade7d195760dd33
coronacases_008,C50_DIS,0.5,dispersed,202,202,202,202,0,0,202,202,0,0,e7afa0acf55ec424be82d5ccae97ad2c0dac31ff5671665caade7d195760dd33
coronacases_008,C50_FRG,0.5,fragmented,202,202,202,113,89,0,202,202,0,0,e7afa0acf55ec424be82d5ccae97ad2c0dac31ff5671665caade7d195760dd33
coronacases_009,C100_COH,1.0,coherent,48,48,48,25,23,0,48,48,0,0,31046af7e1b4fe947ff8ffcc597715552d1ca9cf85ffbecb571a5c2d1b2fcbee
coronacases_009,C100_DIS,1.0,dispersed,48,48,48,48,0,0,48,48,0,0,31046af7e1b4fe947ff8ffcc597715552d1ca9cf85ffbecb571a5c2d1b2fcbee
coronacases_009,C100_FRG,1.0,fragmented,48,48,48,37,11,0,48,48,0,0,31046af7e1b4fe947ff8ffcc597715552d1ca9cf85ffbecb571a5c2d1b2fcbee
coronacases_009,C50_COH,0.5,coherent,48,48,48,19,29,0,48,48,0,0,31046af7e1b4fe947ff8ffcc597715552d1ca9cf85ffbecb571a5c2d1b2fcbee
coronacases_009,C50_DIS,0.5,dispersed,48,48,48,47,1,0,48,48,0,0,31046af7e1b4fe947ff8ffcc597715552d1ca9cf85ffbecb571a5c2d1b2fcbee
coronacases_009,C50_FRG,0.5,fragmented,48,48,48,29,19,0,48,48,0,0,31046af7e1b4fe947ff8ffcc597715552d1ca9cf85ffbecb571a5c2d1b2fcbee
coronacases_010,C100_COH,1.0,coherent,60,60,60,26,34,0,60,60,0,0,abf37b8863e7d512f99c0a1a4a93835e40954604a15bf5b7f4f282ceeb60a67e
coronacases_010,C100_DIS,1.0,dispersed,60,60,60,60,0,0,60,60,0,0,abf37b8863e7d512f99c0a1a4a93835e40954604a15bf5b7f4f282ceeb60a67e
coronacases_010,C100_FRG,1.0,fragmented,60,60,60,33,27,0,60,60,0,0,abf37b8863e7d512f99c0a1a4a93835e40954604a15bf5b7f4f282ceeb60a67e
coronacases_010,C50_COH,0.5,coherent,60,60,60,22,38,0,60,60,0,0,abf37b8863e7d512f99c0a1a4a93835e40954604a15bf5b7f4f282ceeb60a67e
coronacases_010,C50_DIS,0.5,dispersed,60,60,60,60,0,0,60,60,0,0,abf37b8863e7d512f99c0a1a4a93835e40954604a15bf5b7f4f282ceeb60a67e
coronacases_010,C50_FRG,0.5,fragmented,60,60,60,26,34,0,60,60,0,0,abf37b8863e7d512f99c0a1a4a93835e40954604a15bf5b7f4f282ceeb60a67e
radiopaedia_10_85902_1,C100_COH,1.0,coherent,20,20,20,8,12,0,20,20,0,0,eeb7e442121518ca22c040c295078da620b588eaf37ce815626d9552fada44ee
radiopaedia_10_85902_1,C100_DIS,1.0,dispersed,20,20,20,20,0,0,20,20,0,0,eeb7e442121518ca22c040c295078da620b588eaf37ce815626d9552fada44ee
radiopaedia_10_85902_1,C100_FRG,1.0,fragmented,20,20,20,12,8,0,20,20,0,0,eeb7e442121518ca22c040c295078da620b588eaf37ce815626d9552fada44ee
radiopaedia_10_85902_1,C50_COH,0.5,coherent,20,20,20,7,13,0,20,20,0,0,eeb7e442121518ca22c040c295078da620b588eaf37ce815626d9552fada44ee
radiopaedia_10_85902_1,C50_DIS,0.5,dispersed,20,20,20,20,0,0,20,20,0,0,eeb7e442121518ca22c040c295078da620b588eaf37ce815626d9552fada44ee
radiopaedia_10_85902_1,C50_FRG,0.5,fragmented,20,20,20,9,11,0,20,20,0,0,eeb7e442121518ca22c040c295078da620b588eaf37ce815626d9552fada44ee
radiopaedia_10_85902_3,C100_COH,1.0,coherent,20,20,20,9,11,0,20,20,0,0,b5c5fb6bc00b8b5c748a7d360778b3b0874c76a0a2e2a947425f6fb72d7ea46d
radiopaedia_10_85902_3,C100_DIS,1.0,dispersed,20,20,20,20,0,0,20,20,0,0,b5c5fb6bc00b8b5c748a7d360778b3b0874c76a0a2e2a947425f6fb72d7ea46d
radiopaedia_10_85902_3,C100_FRG,1.0,fragmented,20,20,20,11,9,0,20,20,0,0,b5c5fb6bc00b8b5c748a7d360778b3b0874c76a0a2e2a947425f6fb72d7ea46d
radiopaedia_10_85902_3,C50_COH,0.5,coherent,20,20,20,11,9,0,20,20,0,0,b5c5fb6bc00b8b5c748a7d360778b3b0874c76a0a2e2a947425f6fb72d7ea46d
radiopaedia_10_85902_3,C50_DIS,0.5,dispersed,20,20,20,20,0,0,20,20,0,0,b5c5fb6bc00b8b5c748a7d360778b3b0874c76a0a2e2a947425f6fb72d7ea46d
radiopaedia_10_85902_3,C50_FRG,0.5,fragmented,20,20,20,7,13,0,20,20,0,0,b5c5fb6bc00b8b5c748a7d360778b3b0874c76a0a2e2a947425f6fb72d7ea46d
radiopaedia_14_85914_0,C100_COH,1.0,coherent,280,280,280,133,147,0,280,280,0,0,7798b0c80d7519616f1973a4f6dcc9289a2feaac638f3ebaf28cdf5028fec2b2
radiopaedia_14_85914_0,C100_DIS,1.0,dispersed,280,280,280,280,0,0,280,280,0,0,7798b0c80d7519616f1973a4f6dcc9289a2feaac638f3ebaf28cdf5028fec2b2
radiopaedia_14_85914_0,C100_FRG,1.0,fragmented,280,280,280,170,110,0,280,280,0,0,7798b0c80d7519616f1973a4f6dcc9289a2feaac638f3ebaf28cdf5028fec2b2
radiopaedia_14_85914_0,C50_COH,0.5,coherent,280,280,280,127,153,0,280,280,0,0,7798b0c80d7519616f1973a4f6dcc9289a2feaac638f3ebaf28cdf5028fec2b2
radiopaedia_14_85914_0,C50_DIS,0.5,dispersed,280,280,280,275,5,0,280,280,0,0,7798b0c80d7519616f1973a4f6dcc9289a2feaac638f3ebaf28cdf5028fec2b2
radiopaedia_14_85914_0,C50_FRG,0.5,fragmented,280,280,280,137,143,0,280,280,0,0,7798b0c80d7519616f1973a4f6dcc9289a2feaac638f3ebaf28cdf5028fec2b2
radiopaedia_27_86410_0,C100_COH,1.0,coherent,140,140,140,69,71,0,140,140,0,0,bd3e76f130300a15656917bb8ba7670f13d0174879dfdf2adb5c121045fc13c2
radiopaedia_27_86410_0,C100_DIS,1.0,dispersed,140,140,140,140,0,0,140,140,0,0,bd3e76f130300a15656917bb8ba7670f13d0174879dfdf2adb5c121045fc13c2
radiopaedia_27_86410_0,C100_FRG,1.0,fragmented,140,140,140,85,55,0,140,140,0,0,bd3e76f130300a15656917bb8ba7670f13d0174879dfdf2adb5c121045fc13c2
radiopaedia_27_86410_0,C50_COH,0.5,coherent,140,140,140,63,77,0,140,140,0,0,bd3e76f130300a15656917bb8ba7670f13d0174879dfdf2adb5c121045fc13c2
radiopaedia_27_86410_0,C50_DIS,0.5,dispersed,140,140,140,136,4,0,140,140,0,0,bd3e76f130300a15656917bb8ba7670f13d0174879dfdf2adb5c121045fc13c2
radiopaedia_27_86410_0,C50_FRG,0.5,fragmented,140,140,140,65,75,0,140,140,0,0,bd3e76f130300a15656917bb8ba7670f13d0174879dfdf2adb5c121045fc13c2
radiopaedia_29_86490_1,C100_COH,1.0,coherent,20,20,20,7,13,0,20,20,0,0,98bb14472a25c353b587b36d807a705372a906076d804e63fa451a9be59ae275
radiopaedia_29_86490_1,C100_DIS,1.0,dispersed,20,20,20,19,1,0,20,20,0,0,98bb14472a25c353b587b36d807a705372a906076d804e63fa451a9be59ae275
radiopaedia_29_86490_1,C100_FRG,1.0,fragmented,20,20,20,13,7,0,20,20,0,0,98bb14472a25c353b587b36d807a705372a906076d804e63fa451a9be59ae275
radiopaedia_29_86490_1,C50_COH,0.5,coherent,20,20,20,5,15,0,20,20,0,0,98bb14472a25c353b587b36d807a705372a906076d804e63fa451a9be59ae275
radiopaedia_29_86490_1,C50_DIS,0.5,dispersed,20,20,20,13,7,0,20,20,0,0,98bb14472a25c353b587b36d807a705372a906076d804e63fa451a9be59ae275
radiopaedia_29_86490_1,C50_FRG,0.5,fragmented,20,20,20,8,12,0,20,20,0,0,98bb14472a25c353b587b36d807a705372a906076d804e63fa451a9be59ae275
radiopaedia_29_86491_1,C100_COH,1.0,coherent,40,40,40,22,18,0,40,40,0,0,d9222aa10734ca41901aa6ce52339b4bbfcb755aea7cd85992a2d5ae52ec9561
radiopaedia_29_86491_1,C100_DIS,1.0,dispersed,40,40,40,40,0,0,40,40,0,0,d9222aa10734ca41901aa6ce52339b4bbfcb755aea7cd85992a2d5ae52ec9561
radiopaedia_29_86491_1,C100_FRG,1.0,fragmented,40,40,40,22,18,0,40,40,0,0,d9222aa10734ca41901aa6ce52339b4bbfcb755aea7cd85992a2d5ae52ec9561
radiopaedia_29_86491_1,C50_COH,0.5,coherent,40,40,40,18,22,0,40,40,0,0,d9222aa10734ca41901aa6ce52339b4bbfcb755aea7cd85992a2d5ae52ec9561
radiopaedia_29_86491_1,C50_DIS,0.5,dispersed,40,40,40,40,0,0,40,40,0,0,d9222aa10734ca41901aa6ce52339b4bbfcb755aea7cd85992a2d5ae52ec9561
radiopaedia_29_86491_1,C50_FRG,0.5,fragmented,40,40,40,20,20,0,40,40,0,0,d9222aa10734ca41901aa6ce52339b4bbfcb755aea7cd85992a2d5ae52ec9561
radiopaedia_36_86526_0,C100_COH,1.0,coherent,249,249,249,128,121,0,249,249,0,0,88543f902397ca90c145b2b2aa6ee522bf1531ad0b8a10db52893fdec148b653
radiopaedia_36_86526_0,C100_DIS,1.0,dispersed,249,249,249,249,0,0,249,249,0,0,88543f902397ca90c145b2b2aa6ee522bf1531ad0b8a10db52893fdec148b653
radiopaedia_36_86526_0,C100_FRG,1.0,fragmented,249,249,249,178,71,0,249,249,0,0,88543f902397ca90c145b2b2aa6ee522bf1531ad0b8a10db52893fdec148b653
radiopaedia_36_86526_0,C50_COH,0.5,coherent,249,249,249,111,138,0,249,249,0,0,88543f902397ca90c145b2b2aa6ee522bf1531ad0b8a10db52893fdec148b653
radiopaedia_36_86526_0,C50_DIS,0.5,dispersed,249,249,249,243,6,0,249,249,0,0,88543f902397ca90c145b2b2aa6ee522bf1531ad0b8a10db52893fdec148b653
radiopaedia_36_86526_0,C50_FRG,0.5,fragmented,249,249,249,129,120,0,249,249,0,0,88543f902397ca90c145b2b2aa6ee522bf1531ad0b8a10db52893fdec148b653
radiopaedia_40_86625_0,C100_COH,1.0,coherent,83,83,83,43,40,0,83,83,0,0,87fb9f5e8c2e932b5c460efb4349bb3b53fb7662ebebe6ba052782a25e727c52
radiopaedia_40_86625_0,C100_DIS,1.0,dispersed,83,83,83,82,1,0,83,83,0,0,87fb9f5e8c2e932b5c460efb4349bb3b53fb7662ebebe6ba052782a25e727c52
radiopaedia_40_86625_0,C100_FRG,1.0,fragmented,83,83,83,53,30,0,83,83,0,0,87fb9f5e8c2e932b5c460efb4349bb3b53fb7662ebebe6ba052782a25e727c52
radiopaedia_40_86625_0,C50_COH,0.5,coherent,83,83,83,42,41,0,83,83,0,0,87fb9f5e8c2e932b5c460efb4349bb3b53fb7662ebebe6ba052782a25e727c52
radiopaedia_40_86625_0,C50_DIS,0.5,dispersed,83,83,83,78,5,0,83,83,0,0,87fb9f5e8c2e932b5c460efb4349bb3b53fb7662ebebe6ba052782a25e727c52
radiopaedia_40_86625_0,C50_FRG,0.5,fragmented,83,83,83,45,38,0,83,83,0,0,87fb9f5e8c2e932b5c460efb4349bb3b53fb7662ebebe6ba052782a25e727c52
radiopaedia_4_85506_1,C100_COH,1.0,coherent,294,294,294,145,149,0,294,294,0,0,18066c61d98fa5548cd58ce4d66210e42fe85e2be1ef47d11bf73b3d36015e91
radiopaedia_4_85506_1,C100_DIS,1.0,dispersed,294,294,294,293,1,0,294,294,0,0,18066c61d98fa5548cd58ce4d66210e42fe85e2be1ef47d11bf73b3d36015e91
radiopaedia_4_85506_1,C100_FRG,1.0,fragmented,294,294,294,170,124,0,294,294,0,0,18066c61d98fa5548cd58ce4d66210e42fe85e2be1ef47d11bf73b3d36015e91
radiopaedia_4_85506_1,C50_COH,0.5,coherent,294,294,294,115,179,0,294,294,0,0,18066c61d98fa5548cd58ce4d66210e42fe85e2be1ef47d11bf73b3d36015e91
radiopaedia_4_85506_1,C50_DIS,0.5,dispersed,294,294,294,279,15,0,294,294,0,0,18066c61d98fa5548cd58ce4d66210e42fe85e2be1ef47d11bf73b3d36015e91
radiopaedia_4_85506_1,C50_FRG,0.5,fragmented,294,294,294,141,153,0,294,294,0,0,18066c61d98fa5548cd58ce4d66210e42fe85e2be1ef47d11bf73b3d36015e91
radiopaedia_7_85703_0,C100_COH,1.0,coherent,40,40,40,20,20,0,40,40,0,0,6a2dcede224765b04e0d3fe223cf18279277dcac190c33f548af67f1c11d6f32
radiopaedia_7_85703_0,C100_DIS,1.0,dispersed,40,40,40,40,0,0,40,40,0,0,6a2dcede224765b04e0d3fe223cf18279277dcac190c33f548af67f1c11d6f32
radiopaedia_7_85703_0,C100_FRG,1.0,fragmented,40,40,40,26,14,0,40,40,0,0,6a2dcede224765b04e0d3fe223cf18279277dcac190c33f548af67f1c11d6f32
radiopaedia_7_85703_0,C50_COH,0.5,coherent,40,40,40,17,23,0,40,40,0,0,6a2dcede224765b04e0d3fe223cf18279277dcac190c33f548af67f1c11d6f32
radiopaedia_7_85703_0,C50_DIS,0.5,dispersed,40,40,40,40,0,0,40,40,0,0,6a2dcede224765b04e0d3fe223cf18279277dcac190c33f548af67f1c11d6f32
radiopaedia_7_85703_0,C50_FRG,0.5,fragmented,40,40,40,20,20,0,40,40,0,0,6a2dcede224765b04e0d3fe223cf18279277dcac190c33f548af67f1c11d6f32
