case_id,coverage,component_fixed_unique_fg,complete_fixed_unique_fg,raw_pair_exact,shared_training_grid_target,component_fixed_groups,complete_fixed_groups,component_constructive_cover,complete_constructive_cover,component_side_feasible,complete_side_feasible,prospective_exact_pair_feasible,component_reason,complete_reason,component_voxel_reduction,complete_voxel_reduction,component_target_margin,complete_target_margin
radiopaedia_29_86491_1,50,16,17,False,16,2,3,2,3,True,True,True,PASS,PASS,0,1,14,13
radiopaedia_29_86491_1,25,14,16,False,14,1,3,1,3,True,True,True,PASS,PASS,0,2,13,11
radiopaedia_36_86526_0,75,328,331,False,328,25,33,25,33,True,True,True,PASS,PASS,0,3,303,295
radiopaedia_36_86526_0,50,240,244,False,240,17,33,17,33,True,True,True,PASS,PASS,0,4,223,207
radiopaedia_36_86526_0,25,117,131,False,117,9,33,9,33,True,True,True,PASS,PASS,0,14,108,84
radiopaedia_40_86625_0,75,94,96,False,94,9,12,9,12,True,True,True,PASS,PASS,0,2,85,82
radiopaedia_40_86625_0,50,102,96,False,96,6,12,6,12,True,True,True,PASS,PASS,6,0,90,84
radiopaedia_40_86625_0,25,62,64,False,62,3,12,3,12,True,True,True,PASS,PASS,0,2,59,50
radiopaedia_4_85506_1,75,239,240,False,239,23,30,23,30,True,True,True,PASS,PASS,0,1,216,209
radiopaedia_4_85506_1,50,159,171,False,159,15,30,15,30,True,True,True,PASS,PASS,0,12,144,129
radiopaedia_4_85506_1,25,67,84,False,67,8,30,8,30,True,True,True,PASS,PASS,0,17,59,37
radiopaedia_7_85703_0,75,40,46,False,40,3,4,3,4,True,True,True,PASS,PASS,0,6,37,36
radiopaedia_7_85703_0,50,47,46,False,46,2,4,2,4,True,True,True,PASS,PASS,1,0,44,42
radiopaedia_7_85703_0,25,44,46,False,44,1,4,1,4,True,True,True,PASS,PASS,0,2,43,40
