case_id,modality,relative_path,shape_x,shape_y,shape_z,zoom_x_mm,zoom_y_mm,zoom_z_mm,zoom_product_mm3,affine_det_abs_mm3,relative_error,sform_code,qform_code
radiopaedia_29_86490_1,lung,lung_mask/radiopaedia_29_86490_1.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,0,1
radiopaedia_29_86490_1,lung_and_infection,lung_and_infection_mask/radiopaedia_29_86490_1.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,0,1
radiopaedia_29_86491_1,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-29_86491_1-dcm.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,2,0
radiopaedia_29_86491_1,infection,infection_mask/radiopaedia_29_86491_1.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,0,1
radiopaedia_29_86491_1,lung,lung_mask/radiopaedia_29_86491_1.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,0,1
radiopaedia_29_86491_1,lung_and_infection,lung_and_infection_mask/radiopaedia_29_86491_1.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,0,1
coronacases_010,ct,ct_scans/coronacases_org_010.nii,512,512,301,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,2,0
coronacases_010,infection,infection_mask/coronacases_010.nii,512,512,301,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_010,lung,lung_mask/coronacases_010.nii,512,512,301,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_010,lung_and_infection,lung_and_infection_mask/coronacases_010.nii,512,512,301,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
radiopaedia_10_85902_1,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_1-dcm.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,2,0
radiopaedia_10_85902_1,infection,infection_mask/radiopaedia_10_85902_1.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_10_85902_1,lung,lung_mask/radiopaedia_10_85902_1.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_10_85902_1,lung_and_infection,lung_and_infection_mask/radiopaedia_10_85902_1.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_10_85902_3,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_3-dcm.nii,630,630,418,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,2,0
radiopaedia_10_85902_3,infection,infection_mask/radiopaedia_10_85902_3.nii,630,630,418,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
radiopaedia_10_85902_3,lung,lung_mask/radiopaedia_10_85902_3.nii,630,630,418,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
radiopaedia_10_85902_3,lung_and_infection,lung_and_infection_mask/radiopaedia_10_85902_3.nii,630,630,418,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
radiopaedia_4_85506_1,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,2,0
radiopaedia_4_85506_1,infection,infection_mask/radiopaedia_4_85506_1.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_4_85506_1,lung,lung_mask/radiopaedia_4_85506_1.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_4_85506_1,lung_and_infection,lung_and_infection_mask/radiopaedia_4_85506_1.nii,630,630,39,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
coronacases_006,ct,ct_scans/coronacases_org_006.nii,512,512,213,0.759765625,0.759765625,1.5,0.8658657073974609,0.8658657073974609,0.0,2,0
coronacases_006,infection,infection_mask/coronacases_006.nii,512,512,213,0.759765625,0.759765625,1.5,0.8658657073974609,0.8658657073974609,0.0,1,2
coronacases_006,lung,lung_mask/coronacases_006.nii,512,512,213,0.759765625,0.759765625,1.5,0.8658657073974609,0.8658657073974609,0.0,1,2
coronacases_006,lung_and_infection,lung_and_infection_mask/coronacases_006.nii,512,512,213,0.759765625,0.759765625,1.5,0.8658657073974609,0.8658657073974609,0.0,1,2
coronacases_007,ct,ct_scans/coronacases_org_007.nii,512,512,249,0.712890625,0.712890625,1.0,0.5082130432128906,0.5082130432128906,0.0,2,0
coronacases_007,infection,infection_mask/coronacases_007.nii,512,512,249,0.712890625,0.712890625,1.0,0.5082130432128906,0.5082130432128906,0.0,1,2
coronacases_007,lung,lung_mask/coronacases_007.nii,512,512,249,0.712890625,0.712890625,1.0,0.5082130432128906,0.5082130432128906,0.0,1,2
coronacases_007,lung_and_infection,lung_and_infection_mask/coronacases_007.nii,512,512,249,0.712890625,0.712890625,1.0,0.5082130432128906,0.5082130432128906,0.0,1,2
radiopaedia_36_86526_0,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-36_86526_0-dcm.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,2,0
radiopaedia_36_86526_0,infection,infection_mask/radiopaedia_36_86526_0.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_36_86526_0,lung,lung_mask/radiopaedia_36_86526_0.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_36_86526_0,lung_and_infection,lung_and_infection_mask/radiopaedia_36_86526_0.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_7_85703_0,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,2,0
radiopaedia_7_85703_0,infection,infection_mask/radiopaedia_7_85703_0.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_7_85703_0,lung,lung_mask/radiopaedia_7_85703_0.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_7_85703_0,lung_and_infection,lung_and_infection_mask/radiopaedia_7_85703_0.nii,630,630,45,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
coronacases_001,ct,ct_scans/coronacases_org_001.nii,512,512,301,0.8105469942092896,0.8105469942092896,1.0,0.6569864298217141,0.6569864298217141,0.0,2,0
coronacases_001,infection,infection_mask/coronacases_001.nii,512,512,301,0.8105469942092896,0.8105469942092896,1.0,0.6569864298217141,0.6569864298217141,0.0,1,2
coronacases_001,lung,lung_mask/coronacases_001.nii,512,512,301,0.8105469942092896,0.8105469942092896,1.0,0.6569864298217141,0.6569864298217141,0.0,1,2
coronacases_001,lung_and_infection,lung_and_infection_mask/coronacases_001.nii,512,512,301,0.8105469942092896,0.8105469942092896,1.0,0.6569864298217141,0.6569864298217141,0.0,1,2
coronacases_003,ct,ct_scans/coronacases_org_003.nii,512,512,200,0.736328125,0.736328125,1.5,0.8132686614990234,0.8132686614990234,0.0,2,0
coronacases_003,infection,infection_mask/coronacases_003.nii,512,512,200,0.736328125,0.736328125,1.5,0.8132686614990234,0.8132686614990234,0.0,1,2
coronacases_003,lung,lung_mask/coronacases_003.nii,512,512,200,0.736328125,0.736328125,1.5,0.8132686614990234,0.8132686614990234,0.0,1,2
coronacases_003,lung_and_infection,lung_and_infection_mask/coronacases_003.nii,512,512,200,0.736328125,0.736328125,1.5,0.8132686614990234,0.8132686614990234,0.0,1,2
coronacases_009,ct,ct_scans/coronacases_org_009.nii,512,512,256,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,2,0
coronacases_009,infection,infection_mask/coronacases_009.nii,512,512,256,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_009,lung,lung_mask/coronacases_009.nii,512,512,256,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_009,lung_and_infection,lung_and_infection_mask/coronacases_009.nii,512,512,256,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
radiopaedia_40_86625_0,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm.nii,630,630,93,0.6835939884185791,0.6835939884185791,4.0,1.8692029640080818,1.8692029640080818,0.0,2,0
radiopaedia_40_86625_0,infection,infection_mask/radiopaedia_40_86625_0.nii,630,630,93,0.6835939884185791,0.6835939884185791,4.0,1.8692029640080818,1.8692029640080818,0.0,1,2
radiopaedia_40_86625_0,lung,lung_mask/radiopaedia_40_86625_0.nii,630,630,93,0.6835939884185791,0.6835939884185791,4.0,1.8692029640080818,1.8692029640080818,0.0,1,2
radiopaedia_40_86625_0,lung_and_infection,lung_and_infection_mask/radiopaedia_40_86625_0.nii,630,630,93,0.6835939884185791,0.6835939884185791,4.0,1.8692029640080818,1.8692029640080818,0.0,1,2
coronacases_004,ct,ct_scans/coronacases_org_004.nii,512,512,270,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,2,0
coronacases_004,infection,infection_mask/coronacases_004.nii,512,512,270,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_004,lung,lung_mask/coronacases_004.nii,512,512,270,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_004,lung_and_infection,lung_and_infection_mask/coronacases_004.nii,512,512,270,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_008,ct,ct_scans/coronacases_org_008.nii,512,512,301,0.7246090173721313,0.7246090173721313,1.0,0.5250582280570057,0.5250582280570057,0.0,2,0
coronacases_008,infection,infection_mask/coronacases_008.nii,512,512,301,0.7246090173721313,0.7246090173721313,1.0,0.5250582280570057,0.5250582280570057,0.0,1,2
coronacases_008,lung,lung_mask/coronacases_008.nii,512,512,301,0.7246090173721313,0.7246090173721313,1.0,0.5250582280570057,0.5250582280570057,0.0,1,2
coronacases_008,lung_and_infection,lung_and_infection_mask/coronacases_008.nii,512,512,301,0.7246090173721313,0.7246090173721313,1.0,0.5250582280570057,0.5250582280570057,0.0,1,2
radiopaedia_14_85914_0,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-14_85914_0-dcm.nii,630,401,110,0.6835939884185791,0.6835939884185791,2.0,0.9346014820040409,0.9346014820040409,0.0,2,0
radiopaedia_14_85914_0,infection,infection_mask/radiopaedia_14_85914_0.nii,630,401,110,0.6835939884185791,0.6835939884185791,2.0,0.9346014820040409,0.9346014820040409,0.0,1,2
radiopaedia_14_85914_0,lung,lung_mask/radiopaedia_14_85914_0.nii,630,401,110,0.6835939884185791,0.6835939884185791,2.0,0.9346014820040409,0.9346014820040409,0.0,1,2
radiopaedia_14_85914_0,lung_and_infection,lung_and_infection_mask/radiopaedia_14_85914_0.nii,630,401,110,0.6835939884185791,0.6835939884185791,2.0,0.9346014820040409,0.9346014820040409,0.0,1,2
radiopaedia_27_86410_0,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-27_86410_0-dcm.nii,630,630,66,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,2,0
radiopaedia_27_86410_0,infection,infection_mask/radiopaedia_27_86410_0.nii,630,630,66,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_27_86410_0,lung,lung_mask/radiopaedia_27_86410_0.nii,630,630,66,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
radiopaedia_27_86410_0,lung_and_infection,lung_and_infection_mask/radiopaedia_27_86410_0.nii,630,630,66,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,1,2
