relative_path,filename,role,extension,bytes
ct_scans/radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm.nii,radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm.nii,ct_scan,.nii,15479452
ct_scans/radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm.nii,radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm.nii,ct_scan,.nii,17860852
infection_mask/coronacases_001.nii,coronacases_001.nii,infection_mask,.nii,157811040
infection_mask/coronacases_002.nii,coronacases_002.nii,infection_mask,.nii,104857952
infection_mask/coronacases_003.nii,coronacases_003.nii,infection_mask,.nii,104857952
infection_mask/coronacases_004.nii,coronacases_004.nii,infection_mask,.nii,141558112
infection_mask/coronacases_005.nii,coronacases_005.nii,infection_mask,.nii,152043872
infection_mask/coronacases_006.nii,coronacases_006.nii,infection_mask,.nii,111673696
infection_mask/coronacases_007.nii,coronacases_007.nii,infection_mask,.nii,130548064
infection_mask/coronacases_008.nii,coronacases_008.nii,infection_mask,.nii,157811040
infection_mask/coronacases_009.nii,coronacases_009.nii,infection_mask,.nii,134218080
infection_mask/coronacases_010.nii,coronacases_010.nii,infection_mask,.nii,157811040
infection_mask/radiopaedia_10_85902_1.nii,radiopaedia_10_85902_1.nii,infection_mask,.nii,30958552
infection_mask/radiopaedia_10_85902_3.nii,radiopaedia_10_85902_3.nii,infection_mask,.nii,331808752
infection_mask/radiopaedia_14_85914_0.nii,radiopaedia_14_85914_0.nii,infection_mask,.nii,55578952
infection_mask/radiopaedia_27_86410_0.nii,radiopaedia_27_86410_0.nii,infection_mask,.nii,52391152
infection_mask/radiopaedia_29_86490_1.nii,radiopaedia_29_86490_1.nii,infection_mask,.nii,33339952
infection_mask/radiopaedia_29_86491_1.nii,radiopaedia_29_86491_1.nii,infection_mask,.nii,33339952
infection_mask/radiopaedia_36_86526_0.nii,radiopaedia_36_86526_0.nii,infection_mask,.nii,35721352
infection_mask/radiopaedia_40_86625_0.nii,radiopaedia_40_86625_0.nii,infection_mask,.nii,73823752
infection_mask/radiopaedia_4_85506_1.nii,radiopaedia_4_85506_1.nii,infection_mask,.nii,30958552
infection_mask/radiopaedia_7_85703_0.nii,radiopaedia_7_85703_0.nii,infection_mask,.nii,35721352
lung_and_infection_mask/coronacases_001.nii,coronacases_001.nii,lung_and_infection_mask,.nii,157811040
lung_and_infection_mask/coronacases_002.nii,coronacases_002.nii,lung_and_infection_mask,.nii,104857952
lung_and_infection_mask/coronacases_003.nii,coronacases_003.nii,lung_and_infection_mask,.nii,104857952
lung_and_infection_mask/coronacases_004.nii,coronacases_004.nii,lung_and_infection_mask,.nii,141558112
lung_and_infection_mask/coronacases_005.nii,coronacases_005.nii,lung_and_infection_mask,.nii,152043872
lung_and_infection_mask/coronacases_006.nii,coronacases_006.nii,lung_and_infection_mask,.nii,111673696
lung_and_infection_mask/coronacases_007.nii,coronacases_007.nii,lung_and_infection_mask,.nii,130548064
lung_and_infection_mask/coronacases_008.nii,coronacases_008.nii,lung_and_infection_mask,.nii,157811040
lung_and_infection_mask/coronacases_009.nii,coronacases_009.nii,lung_and_infection_mask,.nii,134218080
lung_and_infection_mask/coronacases_010.nii,coronacases_010.nii,lung_and_infection_mask,.nii,157811040
lung_and_infection_mask/radiopaedia_10_85902_1.nii,radiopaedia_10_85902_1.nii,lung_and_infection_mask,.nii,30958552
lung_and_infection_mask/radiopaedia_10_85902_3.nii,radiopaedia_10_85902_3.nii,lung_and_infection_mask,.nii,331808752
lung_and_infection_mask/radiopaedia_14_85914_0.nii,radiopaedia_14_85914_0.nii,lung_and_infection_mask,.nii,55578952
lung_and_infection_mask/radiopaedia_27_86410_0.nii,radiopaedia_27_86410_0.nii,lung_and_infection_mask,.nii,52391152
lung_and_infection_mask/radiopaedia_29_86490_1.nii,radiopaedia_29_86490_1.nii,lung_and_infection_mask,.nii,33339952
lung_and_infection_mask/radiopaedia_29_86491_1.nii,radiopaedia_29_86491_1.nii,lung_and_infection_mask,.nii,33339952
lung_and_infection_mask/radiopaedia_36_86526_0.nii,radiopaedia_36_86526_0.nii,lung_and_infection_mask,.nii,35721352
lung_and_infection_mask/radiopaedia_40_86625_0.nii,radiopaedia_40_86625_0.nii,lung_and_infection_mask,.nii,73823752
lung_and_infection_mask/radiopaedia_4_85506_1.nii,radiopaedia_4_85506_1.nii,lung_and_infection_mask,.nii,30958552
lung_and_infection_mask/radiopaedia_7_85703_0.nii,radiopaedia_7_85703_0.nii,lung_and_infection_mask,.nii,35721352
lung_mask/coronacases_001.nii,coronacases_001.nii,lung_mask,.nii,157811040
lung_mask/coronacases_002.nii,coronacases_002.nii,lung_mask,.nii,104857952
lung_mask/coronacases_003.nii,coronacases_003.nii,lung_mask,.nii,104857952
lung_mask/coronacases_004.nii,coronacases_004.nii,lung_mask,.nii,141558112
lung_mask/coronacases_005.nii,coronacases_005.nii,lung_mask,.nii,152043872
lung_mask/coronacases_006.nii,coronacases_006.nii,lung_mask,.nii,111673696
lung_mask/coronacases_007.nii,coronacases_007.nii,lung_mask,.nii,130548064
lung_mask/coronacases_008.nii,coronacases_008.nii,lung_mask,.nii,157811040
lung_mask/coronacases_009.nii,coronacases_009.nii,lung_mask,.nii,134218080
lung_mask/coronacases_010.nii,coronacases_010.nii,lung_mask,.nii,157811040
lung_mask/radiopaedia_10_85902_1.nii,radiopaedia_10_85902_1.nii,lung_mask,.nii,30958552
lung_mask/radiopaedia_10_85902_3.nii,radiopaedia_10_85902_3.nii,lung_mask,.nii,331808752
lung_mask/radiopaedia_14_85914_0.nii,radiopaedia_14_85914_0.nii,lung_mask,.nii,55578952
lung_mask/radiopaedia_27_86410_0.nii,radiopaedia_27_86410_0.nii,lung_mask,.nii,52391152
lung_mask/radiopaedia_29_86490_1.nii,radiopaedia_29_86490_1.nii,lung_mask,.nii,33339952
lung_mask/radiopaedia_29_86491_1.nii,radiopaedia_29_86491_1.nii,lung_mask,.nii,33339952
lung_mask/radiopaedia_36_86526_0.nii,radiopaedia_36_86526_0.nii,lung_mask,.nii,35721352
lung_mask/radiopaedia_40_86625_0.nii,radiopaedia_40_86625_0.nii,lung_mask,.nii,73823752
lung_mask/radiopaedia_4_85506_1.nii,radiopaedia_4_85506_1.nii,lung_mask,.nii,30958552
lung_mask/radiopaedia_7_85703_0.nii,radiopaedia_7_85703_0.nii,lung_mask,.nii,35721352
metadata.csv,metadata.csv,other,.csv,5500
